UniProt-AC	Ensembl_Gene
P19113	ENSG00000140287
P19224	ENSG00000167165
P19367	ENSG00000156515
P19835	ENSG00000170835
P20132	ENSG00000135094
P20292	ENSG00000132965
P20338	ENSG00000168118
P20794	ENSG00000111837
P20815	ENSG00000106258
P21127	ENSG00000248333
P21128	ENSG00000111405
P21439	ENSG00000005471
P21589	ENSG00000135318
P21675	ENSG00000147133
P21709	ENSG00000284816;ENSG00000146904
P21860	ENSG00000065361
P21980	ENSG00000198959
P22303	ENSG00000087085
P22304	ENSG00000010404
P22307	ENSG00000116171
P22455	ENSG00000160867
P22570	ENSG00000161513
P22735	ENSG00000285348;ENSG00000092295
P23458	ENSG00000162434
P23468	ENSG00000282932;ENSG00000153707
P23786	ENSG00000157184
P23921	ENSG00000167325
P24666	ENSG00000143727
P25098	ENSG00000173020
P25440	ENSG00000215077;ENSG00000235307;ENSG00000204256;ENSG00000234704;ENSG00000234507
P26439	ENSG00000203859
P26639	ENSG00000113407
P26885	ENSG00000173486
P27037	ENSG00000121989
P27144	ENSG00000162433
P27338	ENSG00000069535
P27695	ENSG00000100823
P28039	ENSG00000136250
P28330	ENSG00000115361
P28340	ENSG00000062822
P28370	ENSG00000102038
P28562	ENSG00000120129
P29375	ENSG00000073614
P29475	ENSG00000089250
P29508	ENSG00000057149
P29622	ENSG00000100665
P29728	ENSG00000111335
P30043	ENSG00000090013
P30281	ENSG00000112576
P30307	ENSG00000158402
P30838	ENSG00000108602
P31040	ENSG00000073578
P31941	ENSG00000128383
P32298	ENSG00000125388
P32320	ENSG00000158825
P32321	ENSG00000129187
P32322	ENSG00000183010
P32754	ENSG00000158104
P33981	ENSG00000112742
P33991	ENSG00000104738
P34897	ENSG00000182199
P34949	ENSG00000178802
P35237	ENSG00000124570
P35270	ENSG00000116096
P35573	ENSG00000162688
P35670	ENSG00000123191
P35914	ENSG00000117305
P36222	ENSG00000133048
P36406	ENSG00000113595
P36776	ENSG00000196365
P36871	ENSG00000079739
P36897	ENSG00000106799
P36959	ENSG00000137198
P37023	ENSG00000139567
P37059	ENSG00000086696
P38571	ENSG00000107798
P38935	ENSG00000132740
P40145	ENSG00000155897
P40925	ENSG00000014641
P41091	ENSG00000130741
P41240	ENSG00000103653
P41252	ENSG00000196305
P42126	ENSG00000167969
P42680	ENSG00000135605
P42685	ENSG00000111816
P45452	ENSG00000137745
P46020	ENSG00000067177
P46100	ENSG00000085224
P46597	ENSG00000196433
P46934	ENSG00000069869
P47712	ENSG00000116711
P48506	ENSG00000001084
P48728	ENSG00000145020
P48730	ENSG00000141551
P48735	ENSG00000182054
P48775	ENSG00000262635;ENSG00000151790
P49137	ENSG00000162889
P49189	ENSG00000143149
P49247	ENSG00000153574
P49326	ENSG00000131781
P49356	ENSG00000257365
P49593	ENSG00000100034
P49619	ENSG00000058866
P49641	ENSG00000196547
P49748	ENSG00000072778
P49761	ENSG00000179335
P49821	ENSG00000167792
P49863	ENSG00000113088
P49895	ENSG00000211452
P50213	ENSG00000166411
P50226	ENSG00000197165
