UniProt-AC	Ensembl_Gene
P10176	ENSG00000176340
P10619	ENSG00000064601
P10620	ENSG00000008394
P10645	ENSG00000276781;ENSG00000100604
P10721	ENSG00000157404
P10909	ENSG00000120885
P11137	ENSG00000078018
P11441	ENSG00000102178
P12036	ENSG00000100285
P12814	ENSG00000072110
P12830	ENSG00000039068
P13164	ENSG00000185885
P13473	ENSG00000005893
P13591	ENSG00000149294
P13671	ENSG00000039537
P13688	ENSG00000079385
P13765	ENSG00000241386;ENSG00000239457;ENSG00000241106;ENSG00000243612;ENSG00000241910;ENSG00000243496
P13866	ENSG00000100170
P13928	ENSG00000265190
P14060	ENSG00000203857
P14136	ENSG00000131095
P14317	ENSG00000180353
P14784	ENSG00000100385
P14867	ENSG00000022355
P15090	ENSG00000170323
P15260	ENSG00000027697
P15313	ENSG00000116039
P15391	ENSG00000177455
P15514	ENSG00000109321
P15529	ENSG00000117335
P15848	ENSG00000113273
P15941	ENSG00000185499
P16150	ENSG00000197471
P16234	ENSG00000134853
P16389	ENSG00000177301
P16410	ENSG00000163599
P16473	ENSG00000165409
P16615	ENSG00000174437
P16870	ENSG00000109472
P17643	ENSG00000107165
P17676	ENSG00000172216
P17787	ENSG00000160716
P17861	ENSG00000100219
P18084	ENSG00000082781
P18848	ENSG00000128272
P19021	ENSG00000145730
P19224	ENSG00000167165
P19438	ENSG00000067182
P19634	ENSG00000090020
P20036	ENSG00000228163;ENSG00000236177;ENSG00000206291;ENSG00000168384;ENSG00000231389;ENSG00000224103;ENSG00000229685;ENSG00000235844
P20061	ENSG00000134827
P20292	ENSG00000132965
P20338	ENSG00000168118
P20794	ENSG00000111837
P21439	ENSG00000005471
P21583	ENSG00000049130
P21709	ENSG00000284816;ENSG00000146904
P21728	ENSG00000184845
P21757	ENSG00000038945
P21796	ENSG00000213585
P21860	ENSG00000065361
P21926	ENSG00000010278
P22307	ENSG00000116171
P22455	ENSG00000160867
P22570	ENSG00000161513
P22732	ENSG00000142583
P22897	ENSG00000260314
P23416	ENSG00000101958
P23468	ENSG00000282932;ENSG00000153707
P23786	ENSG00000157184
P23942	ENSG00000112619
P25025	ENSG00000180871
P25103	ENSG00000115353
P25106	ENSG00000144476
P25445	ENSG00000026103
P25874	ENSG00000109424
P25929	ENSG00000164128
P26038	ENSG00000147065
P26439	ENSG00000203859
P27037	ENSG00000121989
P27338	ENSG00000069535
P27352	ENSG00000134812
P27449	ENSG00000185883
P28335	ENSG00000147246
P29017	ENSG00000158481
P29275	ENSG00000170425
P29371	ENSG00000169836
P29475	ENSG00000089250
P30049	ENSG00000099624
P30542	ENSG00000163485
P30968	ENSG00000109163
P31040	ENSG00000073578
P31391	ENSG00000132671
P31645	ENSG00000108576
P31785	ENSG00000147168
P32239	ENSG00000110148
P32241	ENSG00000114812
P32246	ENSG00000163823
P32942	ENSG00000076662
P32970	ENSG00000125726
P34910	ENSG00000185862
P34982	ENSG00000184166
P34995	ENSG00000160951
P35241	ENSG00000137710
P35243	ENSG00000109047
