UniProt-AC	Ensembl_Gene
P08865	ENSG00000168028
P08922	ENSG00000047936
P09017	ENSG00000198353
P09086	ENSG00000028277
P09467	ENSG00000165140
P09543	ENSG00000173786
P09769	ENSG00000000938
P09874	ENSG00000143799
P09884	ENSG00000101868
P09914	ENSG00000185745
P0C024	ENSG00000140876
P0C0S8	ENSG00000275221;ENSG00000196787;ENSG00000276903;ENSG00000196747;ENSG00000278677
P0C5Z0	ENSG00000277858;ENSG00000277745
P0DMS8	ENSG00000282608
P0DPB6	ENSG00000186184
P0DPH7	ENSG00000198033
P0DPQ6	NA
P10153	ENSG00000169385
P10276	ENSG00000131759
P10721	ENSG00000157404
P10909	ENSG00000120885
P11055	ENSG00000109063
P11233	ENSG00000006451
P11308	ENSG00000157554
P11801	ENSG00000159792
P12004	ENSG00000132646
P12814	ENSG00000072110
P13051	ENSG00000076248
P13378	ENSG00000175879
P14317	ENSG00000180353
P14652	ENSG00000173917
P14678	ENSG00000125835
P14735	ENSG00000119912
P15104	ENSG00000135821
P15170	ENSG00000103342
P15313	ENSG00000116039
P15880	ENSG00000140988
P15923	ENSG00000071564
P15941	ENSG00000185499
P16234	ENSG00000134853
P16383	ENSG00000005436
P16455	ENSG00000170430
P16591	ENSG00000151422
P16615	ENSG00000174437
P16989	ENSG00000060138
P17022	ENSG00000154957
P17023	ENSG00000157429
P17040	ENSG00000121903
P17096	ENSG00000137309
P17252	ENSG00000154229
P17509	ENSG00000108511
P17540	ENSG00000131730
P17676	ENSG00000172216
P17812	ENSG00000171793
P17861	ENSG00000100219
P17947	ENSG00000066336
P17987	ENSG00000120438
P18074	ENSG00000104884
P18124	ENSG00000147604
P18621	ENSG00000265681
P18848	ENSG00000128272
P18858	ENSG00000105486
P19367	ENSG00000156515
P19484	ENSG00000112561
P19532	ENSG00000068323
P20338	ENSG00000168118
P20700	ENSG00000113368
P20794	ENSG00000111837
P20823	ENSG00000135100
P21127	ENSG00000248333
P21128	ENSG00000111405
P21439	ENSG00000005471
P21589	ENSG00000135318
P21675	ENSG00000147133
P21709	ENSG00000284816;ENSG00000146904
P21796	ENSG00000213585
P21860	ENSG00000065361
P21980	ENSG00000198959
P22455	ENSG00000160867
P22492	ENSG00000187475
P23193	ENSG00000187735
P23409	ENSG00000111046
P23458	ENSG00000162434
P23921	ENSG00000167325
P24278	ENSG00000089775
P25098	ENSG00000173020
P26038	ENSG00000147065
P26368	ENSG00000063244
P26447	ENSG00000196154
P26639	ENSG00000113407
P27037	ENSG00000121989
P27144	ENSG00000162433
P27694	ENSG00000132383
P27695	ENSG00000100823
P28069	ENSG00000064835
P28340	ENSG00000062822
P28347	ENSG00000187079
P28360	ENSG00000163132
P28370	ENSG00000102038
P28698	ENSG00000099326
P29084	ENSG00000197265
P29375	ENSG00000073614
P29728	ENSG00000111335
P31269	ENSG00000078399
P31271	ENSG00000106031
P31276	ENSG00000123364
P31941	ENSG00000128383
P31948	ENSG00000168439
P32298	ENSG00000125388
P33778	ENSG00000276410
P33981	ENSG00000112742
P33991	ENSG00000104738
P35221	ENSG00000044115
P35241	ENSG00000137710
P35452	ENSG00000170178
P35637	ENSG00000089280
P35670	ENSG00000123191
P35712	ENSG00000110693
P36406	ENSG00000113595
P36776	ENSG00000196365
P36897	ENSG00000106799
P37023	ENSG00000139567
P38935	ENSG00000132740
P39019	ENSG00000105372
P39023	ENSG00000100316
P40145	ENSG00000155897
P40425	ENSG00000206315;ENSG00000237344;ENSG00000225987;ENSG00000232005;ENSG00000236353;ENSG00000204304;ENSG00000224952
P40429	ENSG00000142541
P40616	ENSG00000120805
P41091	ENSG00000130741
P41159	ENSG00000174697
P41225	ENSG00000134595
P41240	ENSG00000103653
P41252	ENSG00000196305
P42224	ENSG00000115415
P42680	ENSG00000135605
P42685	ENSG00000111816
P43268	ENSG00000175832
P45973	ENSG00000094916
P46060	ENSG00000100401
P46100	ENSG00000085224
P46109	ENSG00000099942
P46783	ENSG00000124614
P47900	ENSG00000169860
P47914	ENSG00000162244
P48506	ENSG00000001084
P48730	ENSG00000141551
P48742	ENSG00000274577;ENSG00000273706
P49137	ENSG00000162889
P49450	ENSG00000115163
P49458	ENSG00000143742
P49619	ENSG00000058866
P49639	NA
P49643	ENSG00000146143
P49703	ENSG00000175906
P49715	ENSG00000245848
P49761	ENSG00000179335
P49790	ENSG00000124789
P49842	ENSG00000226257;ENSG00000234947;ENSG00000206342;ENSG00000204344;ENSG00000226033;ENSG00000236250
P50458	ENSG00000106689
P50553	ENSG00000139352
P50993	ENSG00000018625
P51114	ENSG00000114416
